time,07_wb_mm_month
1857-08-01,-28.979431728668544
1857-09-01,-41.768160516094056
1857-10-01,-9.76883408114228
1857-11-01,64.8644061236944
1857-12-01,46.65087434653893
1858-01-01,34.272464391
1858-02-01,36.25890329119079
1858-03-01,9.382734495845895
1858-04-01,-77.26918081408796
1858-05-01,-92.19096078524183
1858-06-01,-61.52803580723702
1858-07-01,-76.04440153481883
1858-08-01,-56.95868510601207
1858-09-01,-26.875289866234148
1858-10-01,-9.15900761627347
1858-11-01,46.271127076547465
1858-12-01,44.86435988494528
1859-01-01,62.75008940812472
1859-02-01,12.336609357229548
1859-03-01,14.955240188643721
1859-04-01,-8.29602534395336
1859-05-01,-91.69833800104956
1859-06-01,-12.329187054385528
1859-07-01,-112.19004281889863
1859-08-01,-11.19582586841338
1859-09-01,-16.674593918403374
1859-10-01,18.63473219462915
1859-11-01,13.207670242393075
1859-12-01,51.49328239242011
1860-01-01,33.50542094763975
1860-02-01,53.11510225348848
1860-03-01,16.14963502269687
1860-04-01,-56.488680683566116
1860-05-01,-4.21083627358928
1860-06-01,-69.1592059218217
1860-07-01,-20.97225547044259
1860-08-01,-79.96668436524493
1860-09-01,-21.00042904699717
1860-10-01,11.842166760906025
1860-11-01,60.58480899644938
1860-12-01,71.9754770738657
1861-01-01,112.81593028412041
1861-02-01,5.9730605406538135
1861-03-01,5.798782039873913
1861-04-01,-41.99730554939673
1861-05-01,-111.4333791667166
1861-06-01,-108.31411582030955
1861-07-01,-101.65556289321074
1861-08-01,19.058422044157822
1861-09-01,12.63332274958853
1861-10-01,-11.4533990876848
1861-11-01,27.864138844028606
1861-12-01,36.810941114387454
1862-01-01,37.65198834247923
1862-02-01,22.08649144900327
1862-03-01,3.6923994337939874
1862-04-01,-17.25970113591208
1862-05-01,-7.99820684089778
1862-06-01,-44.90019053441203
1862-07-01,25.301301247173072
1862-08-01,-65.91252135644258
1862-09-01,-16.06097406235284
1862-10-01,11.849622941374289
1862-11-01,34.814965736061
1862-12-01,96.94826361249075
1863-01-01,77.6084512368251
1863-02-01,12.384435986389985
1863-03-01,-6.232484377448415
1863-04-01,-3.813851488496965
1863-05-01,-109.72102022915212
1863-06-01,-41.576510406689266
1863-07-01,-10.263004971227957
1863-08-01,-99.30827608377571
1863-09-01,-13.838482726546232
1863-10-01,70.02996343706866
1863-11-01,22.4309977450689
1863-12-01,61.51246775045911
1864-01-01,7.686177084003712
1864-02-01,48.33979151707621
1864-03-01,-22.756289220902588
1864-04-01,-19.75693740034619
1864-05-01,-43.49673864416249
1864-06-01,-2.3560016296773085
1864-07-01,-58.656441289700055
1864-08-01,-33.288001262537506
1864-09-01,-21.422090012327416
1864-10-01,-2.336151251651149
1864-11-01,40.86223742305918
